Authors: Tile. Publication data,Search Specific Keywords,EC1,EC2,EC3
"Jun Yang, Shujuan Li, Xiaodan Yan, BaiHui Zhang, Baojiang Cui: Searchable symmetric encryption based on the inner product for cloud storage. IJWGS 14(1): 70-87 (2018)",search based cloud,X,X,X
"Jie Cui, Han Zhou, Hong Zhong, Yan Xu: AKSER: Attribute-based keyword search with efficient revocation in cloud computing. Inf. Sci. 423: 343-352 (2018)",search based cloud,X,X,X
Pan Yongdong: Bi-level programming optimization method for cloud manufacturing service composition based on harmony search. J. Comput. Science 27: 462-468 (2018),search based cloud,X,X,X
"Libing Wu, Biwen Chen, Kim-Kwang Raymond Choo, Debiao He: Efficient and secure searchable encryption protocol for cloud-based Internet of Things. J. Parallel Distrib. Comput. 111: 152-161 (2018)",search based cloud,X,X,X
"Vijayakumar Polepally, K. Shahu Chatrapati: DEGSA-VMM: Dragonfly-based exponential gravitational search algorithm to VMM strategy for load balancing in cloud computing. Kybernetes 47(6): 1138-1157 (2018)",search based cloud,X,X,X
"Zhenghong Wang, Zhangjie Fu, Xingming Sun: Semantic Contextual Search Based on Conceptual Graphs over Encrypted Cloud. Security and Communication Networks 2018: 1420930:1-1420930:10 (2018)",search based cloud,X,X,X
"Yeting Guo, Fang Liu, Zhiping Cai, Nong Xiao, Ziming Zhao: Edge-Based Efficient Search over Encrypted Data Mobile Cloud Storage. Sensors 18(4): 1189 (2018)",search based cloud,X,X,X
"Axin Wu, Dong Zheng, Yinghui Zhang, Menglei Yang: Hidden Policy Attribute-Based Data Sharing with Direct Revocation and Keyword Search in Cloud Computing. Sensors 18(7): 2158 (2018)",search based cloud,X,X,X
"Xiaojun Zhang, Chunxiang Xu: Trapdoor Security Lattice-Based Public-Key Searchable Encryption with a Designated Cloud Server. Wireless Personal Communications 100(3): 907-921 (2018)",search based cloud,X,X,X
"B. Balaji Naik, Dhananjay Singh, Arun B. Samaddar, Sangsu Jung: Developing a Cloud Computing Data Center Virtual Machine Consolidation Based on Multi-objective Hybrid Fruit-fly Cuckoo Search Algorithm. 5G World Forum 2018: 512-515",search based cloud,X,X,X
"Mohammed Ridha Bouzidi, Abdelghani Soltani, Asma Bouhank, Mourad Daoudi: New Search Based Methods to Solve Workflow Scheduling Problem in Cloud Computing. CoDIT 2018: 647-652",search based cloud,X,X,X
"Harshit Gujral, Abhinav Sharma, Sangeeta Mittal: Determination of Optimal Thread Pool for Cloud Based Concurrent Enhanced No-Escape Search. IC3 2018: 1-6",search based cloud,X,X,X
"Jeswanth Maseedu, Syam Kumar Pasupuleti: Attribute based Range Search over Encrypted Data for Privacy Preserving in Cloud Computing. ICACCI 2018: 323-329",search based cloud,X,X,X
"Nan Jia, Shaojing Fu, Dongsheng Wang, Ming Xu: A Co-occurrence Matrix Based Multi-keyword Ranked Search Scheme over Encrypted Cloud Data. ICCCS (1) 2018: 36-49",search based cloud,X,X,X
"Jingzhang Sun, Chunjie Cao, Hui Li: Searchable Encryption Scheme Based on CPABE with Attribute Update in a Cloud Medical Environment. ICCCS (3) 2018: 265-276",search based cloud,X,X,X
"Muhammad Hassan Rahim, Nadeem Javaid, Sahar Rahim, Muqaddas Naz, Mariam Akbar, Farhana Javed: Weighted Cuckoo Search Based Load Balanced Cloud for Green Smart Grids. IMIS 2018: 252-264",search based cloud,X,X,X
"Komal Tehreem, Nadeem Javaid, Hamida Bano, Kainat Ansar, Moomina Waheed, Hanan Butt: A Cloud-Fog Based Environment Using Beam Search Algorithm in Smart Grid. NBiS 2018: 661-672",search based cloud,X,X,X
"Lili Xia, Zhangjie Fu: Secure Semantic Search Based on Two-Level Index Over Encrypted Cloud. NSS 2018: 151-159",search based cloud,X,X,X
"Wallace F. F. Cardoso, Eliane Martins: Using a Search and Model Based Framework to Improve Robustness Tests in Cloud Platforms. SAST 2018: 67-76",search based cloud,PASS,PASS,PASS
"Shen-Ming Chung, Ming-Der Shieh, Tzi-Cker Chiueh: A Security Proxy to Cloud Storage Backends Based on an Efficient Wildcard Searchable Encryption. SC² 2018: 127-130",search based cloud,X,X,X
"Abdullah Alourani, Md. Abu Naser Bikas, Mark Grechanik: Search-Based Stress Testing the Elastic Resource Provisioning for Cloud-Based Applications. SSBSE 2018: 149-165",search based cloud,PASS,PASS,PASS
"Meng Shen, Baoli Ma, Liehuang Zhu, Xiaojiang Du, Ke Xu: Secure Phrase Search for Intelligent Processing of Encrypted Data in Cloud-Based IoT. CoRR abs/1809.07914 (2018)",search based cloud,X,X,X
"Rodolfo Ipolito Meneguette, Azzedine Boukerche: SERVitES: An efficient search and allocation resource protocol based on V2V communication for vehicular cloud. Computer Networks 123: 104-118 (2017)",search based cloud,X,X,X
"Absalom E. Ezugwu, Aderemi Oluyinka Adewumi: Soft sets based symbiotic organisms search algorithm for resource discovery in cloud computing environment. Future Generation Comp. Syst. 76: 33-50 (2017)",search based cloud,X,X,X
"Jiguo Li, Yuerong Shi, Yichen Zhang: Searchable ciphertext-policy attribute-based encryption with revocation in cloud storage. Int. J. Communication Systems 30(1) (2017)",search based cloud,X,X,X
"Devi Thiyagarajan, R. Ganesan: Cryptographically imposed model for Efficient Multiple Keyword-based Search over Encrypted Data in Cloud by Secure Index using Bloom Filter and False Random Bit Generator. I. J. Network Security 19(3): 413-420 (2017)",search based cloud,X,X,X
"Vaidehi Vijayakumar, D. Sangeetha: Improved Searchable Attribute Based Encryption in Cloud. J. Inf. Sci. Eng. 33(3): 823-836 (2017)",search based cloud,X,X,X
"Lan Zhang, Taeho Jung, Kebin Liu, Xiang-Yang Li, Xuan Ding, Jiaxi Gu, Yunhao Liu: PIC: Enable Large-Scale Privacy Preserving Content-Based Image Search on Cloud. IEEE Trans. Parallel Distrib. Syst. 28(11): 3258-3271 (2017)",search based cloud,X,X,X
"Jiguo Li, Xiaonan Lin, Yichen Zhang, Jinguang Han: KSF-OABE: Outsourced Attribute-Based Encryption with Keyword Search Function for Cloud Storage. IEEE Trans. Services Computing 10(5): 715-725 (2017)",search based cloud,X,X,X
"Shabnam Kasra Kermanshahi, Joseph K. Liu, Ron Steinfeld: Multi-user Cloud-Based Secure Keyword Search. ACISP (1) 2017: 227-247",search based cloud,X,X,X
"Alex V. Kotlar, Cristina E. Trevino, Michael E. Zwick, David J. Cutler, Thomas S. Wingo: SeqAnt: Cloud-Based Whole-Genome Annotation and Search. BCB 2017: 621",search based cloud,X,X,X
"Majdi Maabreh, Basheer Qolomany, Izzat Alsmadi, Ajay Gupta: Deep learning-based MSMS spectra reduction in support of running multiple protein search engines on cloud. BIBM 2017: 1909-1914",search based cloud,X,X,X
"Lei Sun, Hang Su, Zhiqiang Zhu, Zuohui Li: A Novel Attribute Based Keyword Search Scheme for Mobile Cloud Storage. CyberC 2017: 229-234",search based cloud,X,X,X
"Yaqing Fan, Zhenhua Liu: Verifiable Attribute-Based Multi-keyword Search over Encrypted Cloud Data in Multi-owner Setting. DSC 2017: 441-449",search based cloud,X,X,X
"Baishuang Hu, Qin Liu, Xuhui Liu, Tao Peng, Guojun Wang, Jie Wu: DABKS: Dynamic attribute-based keyword search in cloud computing. ICC 2017: 1-6",search based cloud,X,X,X
"Chuanyi Liu, Guofeng Wang, Peiyi Han, Hezhong Pan, Binxing Fang: A Cloud Access Security Broker based approach for encrypted data search and sharing. ICNC 2017: 422-426",search based cloud,X,X,X
"Wanfen Guo, Xiaolei Dong, Zhenfu Cao, Jiachen Shen: Efficient Attribute-Based Secure Keyword Search on the Cloud Storage. IACR Cryptology ePrint Archive 2017: 782 (2017)",search based cloud,X,X,X
"Bo Yang, Mingwu Zhang, Jun-Qiang Du: An error-tolerant keyword search scheme based on public-key encryption in secure cloud computing. Concurrency and Computation: Practice and Experience 28(4): 1083-1093 (2016)",search based cloud,X,X,X
"Mohammed Abdullahi, Md. Asri Ngadi, Shafii Muhammad Abdulhamid: Symbiotic Organism Search optimization based task scheduling in cloud computing environment. Future Generation Comp. Syst. 56: 640-650 (2016)",search based cloud,X,X,X
"Erik Wittern, Vinod Muthusamy, Jim Laredo, Maja Vukovic, Aleksander Slominski, Shriram Rajagopalan, Hani Jamjoom, Arjun Natarajan: API Harmony: Graph-based search and selection of APIs in the cloud. IBM Journal of Research and Development 60(2-3) (2016)",search based cloud,X,X,X
"Cheng Guo, Ruhan Zhuang, Yingmo Jie, Yizhi Ren, Ting Wu, Kim-Kwang Raymond Choo: Fine-grained Database Field Search Using Attribute-Based Encryption for E-Healthcare Clouds. J. Medical Systems 40(11): 235:1-235:8 (2016)",search based cloud,X,X,X
"Yilun Wu, Xicheng Lu, Jinshu Su, Peixin Chen: An Efficient Searchable Encryption Against Keyword Guessing Attacks for Sharable Electronic Medical Records in Cloud-based System. J. Medical Systems 40(12): 258:1-258:9 (2016)",search based cloud,X,X,X
"Zheli Liu, Jian Weng, Jin Li, Jun Yang, Chuan Fu, Chunfu Jia: Cloud-based electronic health record system supporting fuzzy keyword search. Soft Comput. 20(8): 3243-3255 (2016)",search based cloud,X,X,X
"Wenhai Sun, Shucheng Yu, Wenjing Lou, Y. Thomas Hou, Hui Li: Protecting Your Right: Verifiable Attribute-Based Keyword Search with Fine-Grained Owner-Enforced Search Authorization in the Cloud. IEEE Trans. Parallel Distrib. Syst. 27(4): 1187-1198 (2016)",search based cloud,X,X,X
"Kaitai Liang, Chunhua Su, Jiageng Chen, Joseph K. Liu: Efficient Multi-Function Data Sharing and Searching Mechanism for Cloud-Based Encrypted Data. AsiaCCS 2016: 83-94",search based cloud,X,X,X
"Nasser R. Sabar, Andy Song, Mengjie Zhang: A Variable Local Search Based Memetic Algorithm for the Load Balancing Problem in Cloud Computing. EvoApplications (1) 2016: 267-282",search based cloud,X,X,X
"Kurra Mallaiah, Rishi Kumar Gandhi, Ramachandram Sirandas: Word and Phrase Proximity Searchable Encryption Protocols for Cloud Based Relational Databases. ICC 2016 2016: 42:1-42:12",search based cloud,X,X,X
"Zili Yi, Yang Li, Minglun Gong: An Efficient Algorithm for Feature-Based 3D Point Cloud Correspondence Search. ISVC (1) 2016: 485-496",search based cloud,X,X,X
"Haiping Huang, Jianpeng Du, Hui Wang, Ruchuan Wang: A Multi-keyword Multi-user Searchable Encryption Scheme Based on Cloud Storage. Trustcom/BigDataSE/ISPA 2016: 1937-1943",search based cloud,X,X,X
"Fateh Boucenna, Omar Nouali, Samir Kechid: Concept-based Semantic Search over Encrypted Cloud Data. WEBIST (2) 2016: 235-242",search based cloud,X,X,X
"Thouraya Bouabana-Tebibel, Abdellah Kaci: Parallel search over encrypted data under attribute based encryption on the Cloud Computing. Computers & Security 54: 77-91 (2015)",search based cloud,X,X,X
"Chengying Mao, Jifu Chen, Dave Towey, Jinfu Chen, Xiaoyuan Xie: Search-based QoS ranking prediction for web services in cloud environments. Future Generation Comp. Syst. 50: 111-126 (2015)",search based cloud,X,X,X
Yang Yang: Attribute-based data retrieval with semantic keyword search for e-health cloud. J. Cloud Computing 4: 10 (2015),search based cloud,X,X,X
"Liang Hu, Tengfei Li, Yan Li, Jianfeng Chu, Hongtu Li, Hongying Han: The Research and Outlook for Keyword-Based Searchable Encryption in Cloud Storage. JCM 10(10): 766-772 (2015)",search based cloud,X,X,X
"Daqiang Zhang, Yuming Qian, Jiafu Wan, Shengjie Zhao: An Efficient RFID Search Protocol Based On Clouds. MONET 20(3): 356-362 (2015)",search based cloud,X,X,X
"Ke Li, Weiming Zhang, Ce Yang, Nenghai Yu: Security Analysis on One-to-Many Order Preserving Encryption-Based Cloud Data Search. IEEE Trans. Information Forensics and Security 10(9): 1918-1926 (2015)",search based cloud,X,X,X
"Kaitai Liang, Willy Susilo: Searchable Attribute-Based Mechanism With Efficient Data Sharing for Secure Cloud Storage. IEEE Trans. Information Forensics and Security 10(9): 1981-1992 (2015)",search based cloud,X,X,X
"Stefanos Antaris, Dimitrios Rafailidis: Similarity Search over the Cloud Based on Image Descriptors' Dimensions Value Cardinalities. TOMCCAP 11(4): 51:1-51:23 (2015)",search based cloud,X,X,X
"Hoi Ting Poon, Ali Miri: A Low Storage Phase Search Scheme Based on Bloom Filters for Encrypted Cloud Services. CSCloud 2015: 253-259",search based cloud,X,X,X
"Mikhail Strizhov, Indrajit Ray: Substring Position Search over Encrypted Cloud Data Using Tree-Based Index. IC2E 2015: 165-174",search based cloud,X,X,X
"M. N. Faruk, K. Lakshmi Prasad, P. Srinivasulu: Cloud based Dual Auction (DA) and A* and IDA* Searching models using BH - Strategy for resource allocation in e-markets. ICACCI 2015: 446-452",search based cloud,X,X,X
"Lan Zhang, Taeho Jung, Puchun Feng, Kebin Liu, Xiang-Yang Li, Yunhao Liu: PIC: Enable Large-Scale Privacy Preserving Content-Based Image Search on Cloud. ICPP 2015: 949-958",search based cloud,X,X,X
"Xinyu Fan, Vijay Varadharajan, Michael Hitchens: Provenance Based Classification Access Policy System Based on Encrypted Search for Cloud Data Storage. ISC 2015: 283-298",search based cloud,X,X,X
"Qinghan Xue, Mooi Choo Chuah: Cuckoo-Filter Based Privacy-Aware Search over Encrypted Cloud Data. MSN 2015: 60-68",search based cloud,X,X,X
"George Suciu, Ana Maria Sticlan, Cristina Butca, Alexandru Vulpe, Alexandru Stancu, Simona Halunga: Cloud Search Based Applications for Big Data - Challenges and Methodologies for Acceleration. ARMS-CC@PODC 2015: 177-185",search based cloud,X,X,X
"Lu Liu, Jingchao Sun, Jianqiang Li, Rong Li, Juan Li, Xi Meng, Huifang Li, Ji-Jiang Yang: A Privacy Enhanced Search Approach for Cloud-Based Medical Data Sharing. SmartCity 2015: 1032-1037",search based cloud,X,X,X
"Xiaofen Wang, Xiaosong Zhang, Yi Mu: Hierarchical ID-Based Searchable Encryption with Constant Size Ciphertext in Cloud. SmartCity 2015: 1024-1031",search based cloud,X,X,X
"Li Zhang, Brandon M. Smith, Shengqi Zhu: FaceSimile: A Mobile Application for Face Image Search Based on Interactive Shape Manipulation. Mobile Cloud Visual Media Computing 2015: 147-165",search based cloud,X,X,X
"Zhihua Xia, Yanling Zhu, Xingming Sun, Lihong Chen: Secure semantic expansion based search over encrypted cloud data supporting similarity ranking. J. Cloud Computing 3: 8 (2014)",search based cloud,X,X,X
"Otávio Augusto Lazzarini Lemos, Adriano Carvalho de Paula, Gustavo Konishi, Sushil Krishna Bajracharya, Joel Ossher, Cristina Videira Lopes: Thesaurus-Based Tag Clouds for Test-Driven Code Search. J. UCS 20(5): 772-796 (2014)",search based cloud,PASS,PASS,X
"Zhangjie Fu, Jiangang Shu, Xingming Sun, Nigel Linge: Smart cloud search services: verifiable keyword-based semantic search over encrypted cloud data. IEEE Trans. Consumer Electronics 60(4): 762-770 (2014)",search based cloud,X,X,X
"Wenhai Sun, Bing Wang, Ning Cao, Ming Li, Wenjing Lou, Y. Thomas Hou, Hui Li: Verifiable Privacy-Preserving Multi-Keyword Text Search in the Cloud Supporting Similarity-Based Ranking. IEEE Trans. Parallel Distrib. Syst. 25(11): 3025-3035 (2014)",search based cloud,X,X,X
"Alexey Tsymbal, Eugen Meissner, B. Michael Kelm, Martin Kramer: Towards cloud-based image-integrated similarity search in big data. BHI 2014: 593-596",search based cloud,X,X,X
"Zhangjie Fu, Jiangang Shu, Xingming Sun, Daxing Zhang: Semantic keyword search based on trie over encrypted cloud data. SCC@ASIACCS 2014: 59-62",search based cloud,X,X,X
"Boyang Wang, Yantian Hou, Ming Li, Haitao Wang, Hui Li: Maple: scalable multi-dimensional range search over encrypted cloud data with tree-based index. AsiaCCS 2014: 111-122",search based cloud,X,X,X
"Rui Li, Xiao Zhang, Xin Zhou, Shan Wang: INK: A Cloud-Based System for Efficient Top-k Interval Keyword Search. CIKM 2014: 2003-2005",search based cloud,X,X,X
"Jia-Zhi Li, Lei Zhang: Attribute-Based Keyword Search and Data Access Control in Cloud. CIS 2014: 382-386",search based cloud,X,X,X
"Ajitpal Singh, Horacio González-Vélez: Hierarchical Multi-log Cloud-Based Search Engine. CISIS 2014: 211-219",search based cloud,X,X,X
"Yuming Qian, Daqiang Zhang, Shengjie Zhao, Xiaopeng Fan, Ke Fan: Cloud-Based Iterative RFID Tag Search Protocol Using Bloom Filters. CloudComp 2014: 145-154",search based cloud,X,X,X
"Wenhai Sun, Shucheng Yu, Wenjing Lou, Y. Thomas Hou, Hui Li: Protecting your right: Attribute-based keyword search with fine-grained owner-enforced search authorization in the cloud. INFOCOM 2014: 226-234",search based cloud,X,X,X
"Zhangjie Fu, Jiangang Shu, Xingming Sun: An Effective Search Scheme Based on Semantic Tree Over Encrypted Cloud Data Supporting Verifiability. SecureComm (1) 2014: 45-54",search based cloud,X,X,X
"Lan Zhang, Taeho Jung, Puchun Feng, Xiang-Yang Li, Yunhao Liu: Cloud-based Privacy Preserving Image Storage, Sharing and Search. CoRR abs/1410.6593 (2014)",search based cloud,X,X,X
"Sukhpal Singh Gill, Inderveer Chana, Maninder Singh, Rajkumar Buyya: RADAR: Self-configuring and self-healing in resource management for enhancing quality of cloud services. Concurrency and Computation: Practice and Experience 31(1) (2019)",healing cloud,X,X,X
"Wenbin William Dai, Laurynas Riliskis, Peng Wang, Valeriy Vyatkin, Xinping Guan: A Cloud-Based Decision Support System for Self-Healing in Distributed Automation Systems Using Fault Tree Analysis. IEEE Trans. Industrial Informatics 14(3): 989-1000 (2018)",healing cloud,X,X,X
"Harrison Mfula, Jukka K. Nurminen: Self-Healing Cloud Services in Private Multi-Clouds. HPCS 2018: 165-170",healing cloud,X,X,X
"Erkuden Rios, Eider Iturbe, Maria Carmen Palacios: Self-healing Multi-Cloud Application Modelling. ARES 2017: 93:1-93:9",healing cloud,X,X,X
"Xinhui Li, Kai Li, Xudong Pang, Yiping Wang: An Orchestration Based Cloud Auto-Healing Service Framework. EDGE 2017: 190-193",healing cloud,X,X,X
"Paul Stack, Huanhuan Xiong, Dali Mersel, Maxime Makhloufi, Guillaume Terpend, Dapeng Dong: Self-Healing in a Decentralised Cloud Management System. CloudNG@EuroSys 2017: 3:1-3:6",healing cloud,X,X,X
"Mauricio Gomez, Abdelghani Chibani, Yacine Amirat, Eric T. Matson: Self-healing Mechanism over the Cloud on Interaction Layer for AALs Using HARMS. PAAMS (Special Sessions) 2017: 264-267",healing cloud,X,X,X
"Ahmed Lounis, Abdelkrim Hadjidj, Abdelmadjid Bouabdallah, Yacine Challal: Healing on the cloud: Secure cloud architecture for medical wireless sensor networks. Future Generation Comp. Syst. 55: 266-277 (2016)",healing cloud,X,X,X
"Fereydoun Farrahi Moghaddam, Abdelouahed Gherbi, Yves Lemieux: Self-Healing Redundancy for OpenStack Applications through Fault-Tolerant Multi-Agent Task Scheduling. CloudCom 2016: 572-577",healing cloud,X,X,X
Rui Xin: Self-Healing Cloud Applications. ICST 2016: 389-390,healing cloud,X,X,X
"Feng Ye, Shengyan Wu, Qian Huang, Xu An Wang: The Research of Enhancing the Dependability of Cloud Services Using Self-Healing Mechanism. INCoS 2016: 130-134",healing cloud,X,X,X
"Meriem Azaiez, Walid Chainbi: A Multi-agent System Architecture for Self-Healing Cloud Infrastructure. ICC 2016 2016: 7:1-7:6",healing cloud,X,X,X
"Mark Shackleton, Fadi Ali El-Moussa, Robert Rowlingson, Alex Healing, John Crowther, Joshua Daniel, Theo Dimitrakos, Ali Sajjad: Deploying Visual Analytics Through a Multi-cloud Service Store with Encrypted Big Data (Short Paper). OTM Conferences 2016: 883-889",healing cloud,X,X,X
"Juan J. Villalobos, Ivan Rodero, Manish Parashar: Energy-Aware Autonomic Framework for Cloud Protection and Self-Healing. ICCAC 2014: 3-4",healing cloud,X,X,X
"Afef Mdhaffar, Riadh Ben Halima, Mohamed Jmaiel, Bernd Freisleben: CEP4Cloud: Complex Event Processing for Self-Healing Clouds. WETICE 2014: 62-67",healing cloud,X,X,X
"Tarek Gaber, Aboul Ella Hassanien: An Overview of Self-Protection and Self-Healing in Wireless Sensor Networks. Bio-inspiring Cyber Security and Cloud Services 2014: 185-202",healing cloud,X,X,X
"Nan Luo, Quan Wang: Fast self-repairing region growing surface reconstruction algorithm for unorganised point cloud data. IJCAT 56(2): 121-131 (2017)",self repair cloud,X,X,X
"Yanjun Liu, Chin-Chen Chang: A Cloud-assisted Passenger Authentication Scheme for Japan Rail Pass Based on Image Morphing. I. J. Network Security 21(2): 211-220 (2019)",morph cloud,X,X,X
"Gui Liu, Jianhua Yao, Zhonghai Zhou: An Image Retrieval Technology Based on Morphology in Cloud Computing. ICCCS (1) 2018: 293-302",morph cloud,X,X,X
"Bisheng Yang, Ronggang Huang, Jianping Li, Mao Tian, Wenxia Dai, Ruofei Zhong: Automated Reconstruction of Building LoDs from Airborne LiDAR Point Clouds Using an Improved Morphological Scale Space. Remote Sensing 9(1): 14 (2017)",morph cloud,X,X,X
"Abderrahim Elmoataz, François Lozes, Hugues Talbot: Morphological PDEs on Graphs for Image Processing on Surfaces and Point Clouds. ISPRS Int. J. Geo-Information 5(11): 213 (2016)",morph cloud,X,X,X
"Borja Rodríguez-Cuenca, Silverio García Cortés, Celestino Ordóñez, María Concepcion Alonso: Morphological Operations to Extract Urban Curbs in 3D MLS Point Clouds. ISPRS Int. J. Geo-Information 5(6): 93 (2016)",morph cloud,X,X,X
"Andrés Serna, Beatriz Marcotegui, Jorge Hernández: Segmentation of Façades from Urban 3D Point Clouds Using Geometrical and Morphological Attribute-Based Operators. ISPRS Int. J. Geo-Information 5(1): 6 (2016)",morph cloud,X,X,X
"Zhenyang Hui, Youjian Hu, Yao Ziggah Yevenyo, Xianyu Yu: An Improved Morphological Algorithm for Filtering Airborne LiDAR Point Cloud Based on Multi-Level Kriging Interpolation. Remote Sensing 8(1): 35 (2016)",morph cloud,X,X,X
"Shuo Li, Hui Wang, Qiuhe Ma, Xuan Zha: A Morphological LiDAR Points Cloud Filtering Method based on GPGPU. GISTAM 2016: 80-84",morph cloud,X,X,X
"Sravan Danda, Aditya Challa, B. S. Daya Sagar: A morphology-based approach for cloud detection. IGARSS 2016: 80-83",morph cloud,X,X,X
"Guanyu Gao, Yonggang Wen: Morph: A Fast and Scalable Cloud Transcoding System. ACM Multimedia 2016: 1160-1163",morph cloud,X,X,X
"Ming-Te Chi, Shih-Syun Lin, Shiang-Yi Chen, Chao-Hung Lin, Tong-Yee Lee: Morphable Word Clouds for Time-Varying Text Data Visualization. IEEE Trans. Vis. Comput. Graph. 21(12): 1415-1426 (2015)",morph cloud,X,X,X
Jesús Angulo: Morphological Scale-Space Operators for Images Supported on Point Clouds. SSVM 2015: 78-89,morph cloud,X,X,X
"Lu Lu, Xuanhua Shi, Hai Jin, Qiuyue Wang, Daxing Yuan, Song Wu: Morpho: A decoupled MapReduce framework for elastic cloud computing. Future Generation Comp. Syst. 36: 80-90 (2014)",morph cloud,X,X,X
Adrian Fisher: Cloud and Cloud-Shadow Detection in SPOT5 HRG Imagery with Automated Morphological Feature Extraction. Remote Sensing 6(1): 776-800 (2014),morph cloud,X,X,X
"Qiuling Wang, Lixin Wu, Zhihua Xu, Hong Tang, Ran Wang, Fashuai Li: A progressive morphological filter for point cloud extracted from UAV images. IGARSS 2014: 2023-2026",morph cloud,X,X,X
"Ryota Hanyu, Kazuki Murakami, Qiangfu Zhao: Verification of an image morphing based technology for improving the security in cloud storage services. ISIC 2014: 38-43",morph cloud,X,X,X
"Pablo C. Cañizares, Alberto Núñez, Mercedes G. Merayo: Mutomvo: Mutation testing framework for simulated cloud and HPC environments. Journal of Systems and Software 143: 187-207 (2018)",mutation cloud,PASS,PASS,PASS
"Sten Vercammen, Serge Demeyer, Markus Borg, Sigrid Eldh: Speeding up mutation testing via the cloud: lessons learned for further optimisations. ESEM 2018: 26:1-26:9",mutation cloud,PASS,PASS,X
"Siwei Chen, Juan F. Beltrán, Clara Esteban-Jurado, Sebastià Franch-Expósito, Sergi Castellví-Bel, Steven Lipkin, Xiaomu Wei, Haiyuan Yu: GeMSTONE: orchestrated prioritization of human germline mutations in the cloud. Nucleic Acids Research 45(Webserver-Issue): W207-W214 (2017)",mutation cloud,PASS,PASS,X
"Abdel-Rahman Al-Ghuwairi, Hazem Eid, Mohammad Aloran, Zaher Salah, Aladdin Hussein Baarah, Ahmad A. Al-oqaily: A mutation-based model to rank testing as a service (TaaS) Providers in cloud computing. ICC 2016 2016: 18:1-18:5",mutation cloud,PASS,PASS,PASS
"Robert Merkel, James Georgeson: Cloud-Based Distributed Mutation Analysis. CoRR abs/1601.07157 (2016)",mutation cloud,PASS,PASS,X
"Iman Saleh, Khaled Nagi: HadoopMutator: A Cloud-Based Mutation Testing Framework. ICSR 2015: 172-187",mutation cloud,PASS,PASS,X
"Li Liu, Miao Zhang, Rajkumar Buyya, Qi Fan: Deadline-constrained coevolutionary genetic algorithm for scientific workflow scheduling in cloud computing. Concurrency and Computation: Practice and Experience 29(5) (2017)",coevolution cloud,X,X,X
"Guangshun Yao, Yongsheng Ding, Yaochu Jin, Kuangrong Hao: Endocrine-based coevolutionary multi-swarm for multi-objective workflow scheduling in a cloud system. Soft Comput. 21(15): 4309-4322 (2017)",coevolution cloud,X,X,X
